parameters,fit_value,mirror,function,dipole_force,Particles,iterations,Inertia,Cognitive,Social,Runtime
"[28.233, 82.062, 89.627, 153.545, -25.774, 45.0, 3.05, 4.097, 0.647, 0.353, 1.344, 0.0]",0.9883794353197967,-1,pencil,True,50,50,0.4,1,2,45.57360269999481
"[-4.344, -90.0, 133.303, 326.184, 45.0, -34.895, 3.0, 5.0, 0.0, 1.0, 5.0, 0.0]",1.0282690237872532,-1,pencil,True,50,50,0.4,1,2,37.441992299980484
"[90.0, 90.0, 108.073, 145.901, 35.851, 45.0, 3.05, 5.0, 0.446, 0.554, 5.0, 0.0]",1.0686365499919142,-1,pencil,True,50,50,0.4,1,2,38.57100560000981
"[-36.304, 36.928, 71.623, 95.696, -9.795, -40.378, 3.05, 5.0, 0.0, 1.0, 3.139, 0.0]",1.0122451786178062,-1,pencil,True,50,50,0.4,1,2,40.44899360000272
"[-51.961, 90.0, 85.695, 146.202, -45.0, -34.762, 3.049, 3.615, 1.0, 0.0, 1.0, 0.0]",1.0290948212422448,-1,pencil,True,50,50,0.4,1,2,39.79521460001706
"[51.906, 90.0, 94.229, 146.201, -45.0, 34.602, 3.026, 3.63, 0.85, 0.15, 1.382, 0.0]",1.0290919921293855,-1,pencil,True,50,50,0.4,1,2,43.48700090000057
"[-79.319, 37.327, 82.715, 96.817, -18.299, -45.0, 3.015, 5.0, 0.003, 0.997, 4.517, 0.0]",1.0390003639028131,-1,pencil,True,50,50,0.4,1,2,36.387621800007764
"[90.0, 20.274, 46.879, 215.676, -16.289, 45.0, 3.02, 5.0, 0.784, 0.216, 5.0, 0.0]",1.057054319920315,-1,pencil,True,50,50,0.4,1,2,44.169831299979705
"[-81.008, 33.937, 79.619, 92.765, -14.795, -45.0, 3.0, 4.981, 0.04, 0.96, 1.0, 0.0]",1.0407201525273762,-1,pencil,True,50,50,0.4,1,2,45.623567600006936
"[-90.0, -21.726, 71.953, 34.171, 35.821, -45.0, 3.05, 5.0, 0.927, 0.073, 4.309, 0.0]",1.0686367076265066,-1,pencil,True,50,50,0.4,1,2,44.15430639998522
"[-83.025, -16.672, 46.736, 37.506, 17.928, -45.0, 3.0, 5.0, 0.0, 1.0, 5.0, 0.0]",1.0212764538225632,-1,pencil,True,50,50,0.4,1,2,40.24338610001723
"[-24.252, 90.0, 115.726, 146.384, -45.0, -45.0, 3.05, 1.183, 0.277, 0.723, 1.332, 0.0]",1.0924063821737753,-1,pencil,True,50,50,0.4,1,2,32.07500069998787
"[18.887, 87.571, 0.0, 297.676, 4.653, -31.962, 3.0, 4.818, 0.894, 0.106, 1.742, 0.0]",2.183067842263539,-1,pencil,True,50,50,0.4,1,2,25.069505099992966
"[60.198, -74.473, 63.736, 312.532, 18.837, 45.0, 3.014, 5.0, 0.669, 0.331, 4.127, 0.0]",1.0235316815292819,-1,pencil,True,50,50,0.4,1,2,25.469728700001724
"[38.477, 81.829, 71.13, 152.635, -31.013, 36.648, 3.043, 3.825, 0.0, 1.0, 3.879, 0.0]",0.9814948193166227,-1,pencil,True,50,50,0.4,1,2,26.3399417999899
"[45.449, -90.0, 100.262, 326.202, 21.019, 45.0, 3.05, 4.186, 0.193, 0.807, 4.968, 0.0]",1.0283671423892407,-1,pencil,True,50,50,0.4,1,2,25.436628099996597
"[39.548, -78.227, 75.39, 319.599, 45.0, 32.779, 3.05, 3.434, 0.457, 0.543, 1.311, 0.0]",1.0023552857654827,-1,pencil,True,50,50,0.4,1,2,26.912718900013715
"[-90.0, -55.917, 75.748, 0.0, 32.502, -45.0, 3.0, 5.0, 0.0, 1.0, 4.84, 0.0]",1.0689423752048723,-1,pencil,True,50,50,0.4,1,2,24.721934799978044
"[-90.0, -55.901, 108.074, 0.0, -35.852, -45.0, 3.05, 5.0, 1.0, 0.0, 1.0, 0.0]",1.068636549870175,-1,pencil,True,50,50,0.4,1,2,26.1293139999907
"[28.436, 90.0, 90.187, 146.074, -25.909, 45.0, 3.0, 4.228, 0.474, 0.526, 4.763, 0.0]",1.0173648388184453,-1,pencil,True,50,50,0.4,1,2,26.466780999995535
"[51.448, 90.0, 94.442, 146.221, -45.0, 34.453, 3.0, 3.666, 0.089, 0.911, 1.0, 0.0]",1.029116315779291,-1,pencil,True,50,50,0.4,1,2,26.34304640002665
"[-90.0, -55.92, 134.022, 0.0, -17.106, -45.0, 3.05, 5.0, 1.0, 0.0, 4.948, 0.0]",1.0568056157982502,-1,pencil,True,50,50,0.4,1,2,26.487076999997953
"[-82.789, 23.675, 47.848, 78.527, 13.213, -45.0, 3.0, 5.0, 0.747, 0.253, 2.086, 0.0]",1.028771208028581,-1,pencil,True,50,50,0.4,1,2,24.434172200009925
"[-79.002, 38.977, 93.954, 99.532, -28.473, -45.0, 3.0, 5.0, 1.0, 0.0, 4.978, 0.0]",1.0424475230283792,-1,pencil,True,50,50,0.4,1,2,25.446664999995846
"[-90.0, -55.925, 45.97, 360.0, 17.113, -45.0, 3.05, 5.0, 1.0, 0.0, 1.003, 0.0]",1.0568055982874582,-1,pencil,True,50,50,0.4,1,2,31.83867569998256
"[35.695, 90.0, 119.383, 146.111, -33.17, 40.355, 3.05, 5.0, 0.5, 0.5, 1.0, 0.0]",1.0415815082691289,-1,pencil,True,50,50,0.4,1,2,31.403946500009624
"[48.623, -74.548, 78.931, 315.917, 40.54, 36.504, 3.048, 3.884, 0.0, 1.0, 1.228, 0.0]",1.008650477929476,-1,pencil,True,50,50,0.4,1,2,30.873218299995642
"[90.0, 83.358, 117.889, 152.261, 45.0, 45.0, 3.05, 5.0, 1.0, 0.0, 4.995, 0.0]",1.075164207934845,-1,pencil,True,50,50,0.4,1,2,32.75157359999139
"[22.237, -90.0, 82.459, 326.382, 27.441, 45.0, 3.0, 5.0, 0.294, 0.706, 1.006, 0.0]",1.0187724921700456,-1,pencil,True,50,50,0.4,1,2,30.32550770000671
"[3.239, -83.016, 45.83, 322.712, 45.0, 34.711, 3.003, 5.0, 1.0, 0.0, 1.762, 0.0]",0.9952874517952829,-1,pencil,True,50,50,0.4,1,2,33.284877099998994
"[90.0, 90.0, 180.0, 325.468, 21.502, 17.036, 3.05, 3.1, 0.977, 0.023, 4.759, 0.0]",2.203453237430622,-1,pencil,True,50,50,0.4,1,2,28.235681299993303
"[-90.0, -55.924, 45.965, 360.0, 17.115, -45.0, 3.05, 5.0, 0.025, 0.975, 5.0, 0.0]",1.056805608361684,-1,pencil,True,50,50,0.4,1,2,32.29458370001521
"[52.016, 90.0, 94.146, 146.203, -45.0, 34.642, 3.029, 3.631, 0.563, 0.437, 4.305, 0.0]",1.029092749022937,-1,pencil,True,50,50,0.4,1,2,32.212327699991874
